IDS_PROPITEM_TXT_000000	Default
IDS_PROPITEM_TXT_005111	
IDS_PROPITEM_TXT_005112	Map of Saintmorning
IDS_PROPITEM_TXT_005113	
IDS_PROPITEM_TXT_005114	Blinkwing of Flaris
IDS_PROPITEM_TXT_005115	Mit diesem Blinkwing kannst du dich nach Flaris teleportieren.
IDS_PROPITEM_TXT_005116	Blinkwing of Saintmorning
IDS_PROPITEM_TXT_005117	Mit diesem Blinkwing kannst du dich nach Saint Morning teleportieren.
IDS_PROPITEM_TXT_005118	Town Blinkwing
IDS_PROPITEM_TXT_005119	Mit diesem Blinkwing kannst du dich in die nächstgelegene Stadt teleportieren.
IDS_PROPITEM_TXT_005120	Blinkwing of Darkon
IDS_PROPITEM_TXT_005121	Mit diesem Blinkwing kannst du dich nach Darkon City teleportieren.
IDS_PROPITEM_TXT_005122	Blinkwing of Darkon1
IDS_PROPITEM_TXT_005123	Mit diesem Blinkwing kannst du dich nach Darkon1 teleportieren.
IDS_PROPITEM_TXT_005124	Blinkwing of Darkon3
IDS_PROPITEM_TXT_005125	Mit diesem Blinkwing kannst du dich nach Darkon3 teleportieren.
IDS_PROPITEM_TXT_005126	Blinkwing of Dekanes Mine
IDS_PROPITEM_TXT_005127	Mit diesem Blinkwing kannst du dich zur Dekanes Mine teleportieren.
IDS_PROPITEM_TXT_005128	Blinkwing of Mas Dungeon
IDS_PROPITEM_TXT_005129	Mit diesem Blinkwing kannst du dich zum Mas Dungeon teleportieren.
IDS_PROPITEM_TXT_005130	Magic Broom
IDS_PROPITEM_TXT_005131	
IDS_PROPITEM_TXT_005132	Kestrel Broom
IDS_PROPITEM_TXT_005133	
IDS_PROPITEM_TXT_005134	Flicker Broom
IDS_PROPITEM_TXT_005135	
IDS_PROPITEM_TXT_005136	Projan Broom
IDS_PROPITEM_TXT_005137	
IDS_PROPITEM_TXT_005138	Hera Hoverbike
IDS_PROPITEM_TXT_005139	Born to Fly, das Hoverbike für den coolen Biker.
IDS_PROPITEM_TXT_005140	Sylia Hoverbike
IDS_PROPITEM_TXT_005141	Die neue Version des Hoverbike. (Höchstgeschwindigkeit: 254km/h)
IDS_PROPITEM_TXT_005142	Hover Board
IDS_PROPITEM_TXT_005143	Ein Flugboard für Anfänger
IDS_PROPITEM_TXT_005144	Onlinewelten Board
IDS_PROPITEM_TXT_005145	Onlinewelten Board
IDS_PROPITEM_TXT_005146	Aero Board
IDS_PROPITEM_TXT_005147	Ein Flugboard, das User niedrigen Levels verwenden
IDS_PROPITEM_TXT_005148	Wilduck Board
IDS_PROPITEM_TXT_005149	Ein Flugboard, das User mittleren Levels verwenden
IDS_PROPITEM_TXT_005150	Ignice Board
IDS_PROPITEM_TXT_005151	Ein Flugboard, das User höheren Levels verwenden
IDS_PROPITEM_TXT_005152	Tiger Board
IDS_PROPITEM_TXT_005153	Ein Flugboard, welches aussieht wie ein Tiger!
IDS_PROPITEM_TXT_005154	Wood Horse
IDS_PROPITEM_TXT_005155	Das schnellste Schaukelpferd von Madrigal!
IDS_PROPITEM_TXT_005156	Assassin Board
IDS_PROPITEM_TXT_005157	
IDS_PROPITEM_TXT_005158	HunterBow Board
IDS_PROPITEM_TXT_005159	
IDS_PROPITEM_TXT_005160	Collection Board
IDS_PROPITEM_TXT_005161	
IDS_PROPITEM_TXT_005162	Andante-Arrow Board
IDS_PROPITEM_TXT_005163	
IDS_PROPITEM_TXT_005164	Board of Apricot
IDS_PROPITEM_TXT_005165	
IDS_PROPITEM_TXT_005166	Board of PineApple
IDS_PROPITEM_TXT_005167	
IDS_PROPITEM_TXT_005168	Board of Salmon
IDS_PROPITEM_TXT_005169	
IDS_PROPITEM_TXT_005170	Board of Silver Ring
IDS_PROPITEM_TXT_005171	
IDS_PROPITEM_TXT_005172	Board of Angel PangPang
IDS_PROPITEM_TXT_005173	
IDS_PROPITEM_TXT_005174	Board of Haruki
IDS_PROPITEM_TXT_005175	
IDS_PROPITEM_TXT_005176	Board of SunMelee
IDS_PROPITEM_TXT_005177	
IDS_PROPITEM_TXT_005178	Flying Cloud
IDS_PROPITEM_TXT_005179	Mysteriöse Wolke auf der man fliegen kann.
IDS_PROPITEM_TXT_005180	AcceleratorFuel
IDS_PROPITEM_TXT_005181	
IDS_PROPITEM_TXT_005182	Vision Stone
IDS_PROPITEM_TXT_005183	(Questitem) Seltenes Erz, das im Herz eines Grownup Lawolf steckt.
IDS_PROPITEM_TXT_005184	Letter from Boboku
IDS_PROPITEM_TXT_005185	(Questitem) Liebesbrief von Boboku an Juria, die er liebt.
IDS_PROPITEM_TXT_005186	Letter from Juria
IDS_PROPITEM_TXT_005187	(Questitem) Ein Antwortbrief von Juria.
IDS_PROPITEM_TXT_005188	Doridoma Scale
IDS_PROPITEM_TXT_005189	(Questitem) Schuppen auf der Haut von Doridoma.
IDS_PROPITEM_TXT_005190	Small Burdeng Tooth
IDS_PROPITEM_TXT_005191	(Questitem) Der Zahn eines Small Burudeng.
IDS_PROPITEM_TXT_005192	Arcard Stone
IDS_PROPITEM_TXT_005193	(Questitem) Ein anderes Auge im Auge des Boss Bang.
IDS_PROPITEM_TXT_005194	Epic Stone
IDS_PROPITEM_TXT_005195	(Questitem) Ein Erz, das Small Wagsaac sehr liebt.
IDS_PROPITEM_TXT_005196	Crest from Bulrox
IDS_PROPITEM_TXT_005197	(Questitem) Ein besonderes Muster mit Waffen, das von Bulrox gemacht wurde.
IDS_PROPITEM_TXT_005198	Scoll Gem
IDS_PROPITEM_TXT_005199	(Questitem) Ein Erz, das zur Herstellung der Muster von Bozman benutzt wird.
IDS_PROPITEM_TXT_005200	Forge Stone
IDS_PROPITEM_TXT_005201	(Questitem) Ein Treibstoff für den Boomboom Stick, der das Werkzeug von Bulrox ist.
IDS_PROPITEM_TXT_005202	Letter from Karin
IDS_PROPITEM_TXT_005203	(Questitem) Liebevoller Brief an die Tocher Tina
IDS_PROPITEM_TXT_005204	Letter from Tina
IDS_PROPITEM_TXT_005205	(Questitem) Der Antwortbrief an ihre Mutter Karin
IDS_PROPITEM_TXT_005206	Loshas Lunchbox
IDS_PROPITEM_TXT_005207	(Questitem) Ein besonderes Essenspaket, das Losha gemacht hat.
IDS_PROPITEM_TXT_005208	Blade Bravery
IDS_PROPITEM_TXT_005209	(Questitem) Ein Schwert, das für die Mercenary auf Probe hergestellt wurde.
IDS_PROPITEM_TXT_005210	Lux Stone
IDS_PROPITEM_TXT_005211	(Questitem) Ein Erz, das Grownup Lawolf für ihre Verdauung essen.
IDS_PROPITEM_TXT_005212	Letter from Rooney
IDS_PROPITEM_TXT_005213	(Questitem) Liebevoller Brief an seinen älteren Bruder Lui.
IDS_PROPITEM_TXT_005214	Letter from Lui
IDS_PROPITEM_TXT_005215	(Questitem) Ein Antwortbrief an seinen jüngeren Bruder Rooney.
IDS_PROPITEM_TXT_005216	Mules Book
IDS_PROPITEM_TXT_005217	(Questitem) Ein von Mule geschriebenes Zauberbuch.
IDS_PROPITEM_TXT_005218	Book Piece
IDS_PROPITEM_TXT_005219	(Questitem) Ein Stück des Buches, das Demian zerstört hat.
IDS_PROPITEM_TXT_005220	Book of Wand
IDS_PROPITEM_TXT_005221	(Questitem) Eine Anleitung wie man einen Wand(Zauberstab) herstellt.
IDS_PROPITEM_TXT_005222	Luxos Stone
IDS_PROPITEM_TXT_005223	(Questitem) Ein Erz, das PukePuke in ihrem Hut versteckt haben.
IDS_PROPITEM_TXT_005224	Lumix Stone
IDS_PROPITEM_TXT_005225	(Questitem) Ein Erz, das am Schwanz des Small Doridoma hängt.
IDS_PROPITEM_TXT_005226	Bluemill
IDS_PROPITEM_TXT_005227	(Questitem) Eine Frucht die Captain Mushpang mag.
IDS_PROPITEM_TXT_005228	Aibatt Wing
IDS_PROPITEM_TXT_005229	(Questitem) Ein Stück eines Aibattflügels
IDS_PROPITEM_TXT_005230	Nyangnyang Tail
IDS_PROPITEM_TXT_005231	(Questitem) Ein Fellschwanz von Nyangnyang
IDS_PROPITEM_TXT_005232	Valins Cookie
IDS_PROPITEM_TXT_005233	(Questitem) Kekse, die Valin, der Meister der Mercenary, gebacken hat.
IDS_PROPITEM_TXT_005234	Mules Novel
IDS_PROPITEM_TXT_005235	(Questitem) Ein Buch, das Mule geschrieben hat. Er ist der beste Magier und Schriftsteller zur gleichen Zeit.
IDS_PROPITEM_TXT_005236	Refresher of Rooney
IDS_PROPITEM_TXT_005237	(Questitem) Der beste Refresher von dem Assist Rooney
IDS_PROPITEM_TXT_005238	Map Piece 1
IDS_PROPITEM_TXT_005239	(Questitem) Ein Stück der Karte von Flaris, die Jeff gemacht hat.
IDS_PROPITEM_TXT_005240	Map Piece 2
IDS_PROPITEM_TXT_005241	(Questitem) Ein Stück der Karte von Flaris, die Tomy gemacht hat.
IDS_PROPITEM_TXT_005242	Will of Rock
IDS_PROPITEM_TXT_005243	(Questitem) Eine Antriebskraft, die Boss Cardpuppet beweglich macht.
IDS_PROPITEM_TXT_005244	Secret Map Piece
IDS_PROPITEM_TXT_005245	(Questitem) Eine Karte des Ortes, wo die Grownup Lawolf ihren Schatz versteckt haben.
IDS_PROPITEM_TXT_005246	Broom Head
IDS_PROPITEM_TXT_005247	(Questitem) Das Oberteil für den magischen Besen.
IDS_PROPITEM_TXT_005248	Broom Body
IDS_PROPITEM_TXT_005249	(Questitem) Das Mittelteil für den magischen Besen.
IDS_PROPITEM_TXT_005250	Broom Tail
IDS_PROPITEM_TXT_005251	(Questitem) Das Unterteil für den magischen Besen.
IDS_PROPITEM_TXT_005252	Young Lawolf Tooth
IDS_PROPITEM_TXT_005253	(Questitem) Ein Backenzahn des Young Lawolf.
IDS_PROPITEM_TXT_005254	Pukepuke Knife
IDS_PROPITEM_TXT_005255	(Questitem) Ein kleines Messer, das Captain Pukepuke gehört.
IDS_PROPITEM_TXT_005256	Fefern Leg
IDS_PROPITEM_TXT_005257	(Questitem) Ein Bein der 2Class Fefern.
IDS_PROPITEM_TXT_005258	Bang Chain
IDS_PROPITEM_TXT_005259	(Questitem) Eine Kette, die Bang sich selbst umhängt.
IDS_PROPITEM_TXT_005260	Martins ID
IDS_PROPITEM_TXT_005261	(Questitem) Ein Zertifikat mit den Initialen von Martin.
IDS_PROPITEM_TXT_005262	Marches ID
IDS_PROPITEM_TXT_005263	(Questitem) Ein Zertifikat mit den Initialen von Marche.
IDS_PROPITEM_TXT_005264	Nyangnyang Hair
IDS_PROPITEM_TXT_005265	(Questitem) Wunderschönes Haar von Creep Nyangnyang.
IDS_PROPITEM_TXT_005266	Hair Coupon
IDS_PROPITEM_TXT_005267	(Questitem) Ein Coupon für eine kostenfreie Frisur beim Schönheits-Salon.
IDS_PROPITEM_TXT_005268	Magic Broom
IDS_PROPITEM_TXT_005269	(Questitem) Ein einfacher fliegender Besen.
IDS_PROPITEM_TXT_005270	Pumpkin Head
IDS_PROPITEM_TXT_005271	(Questitem) Ein lustiger Kopf des Rotten Mr Pumpkin.
IDS_PROPITEM_TXT_005272	Red Mantis Egg
IDS_PROPITEM_TXT_005273	(Questitem) Ein Ei von Young Red Mantis.
IDS_PROPITEM_TXT_005274	Red Mantis Claw
IDS_PROPITEM_TXT_005275	(Questitem) Eine Klaue von Red Mantis.
IDS_PROPITEM_TXT_005276	Royal Pang
IDS_PROPITEM_TXT_005277	(Questitem) Das Haustier von Saint Pang.
IDS_PROPITEM_TXT_005278	Jacks Beard
IDS_PROPITEM_TXT_005279	(Questitem) Der Bart von Captain JackTheHammer.
IDS_PROPITEM_TXT_005280	Herths Cargo
IDS_PROPITEM_TXT_005281	(Questitem) Das Gepäck von Herth.
IDS_PROPITEM_TXT_005282	Ismeraldas Cargo
IDS_PROPITEM_TXT_005283	(Questitem) Das Gepäck von Ismeralda.
IDS_PROPITEM_TXT_005284	Saint Holy
IDS_PROPITEM_TXT_005285	(Questitem) Lebt in der Saint Morning Halle und besitzt eine mysteriöse Kraft.
IDS_PROPITEM_TXT_005286	Helper Ribbon
IDS_PROPITEM_TXT_005287	(Questitem) Große Haarschleife der Helferinnen.
IDS_PROPITEM_TXT_005288	Bearer Heart
IDS_PROPITEM_TXT_005289	(Questitem) Das Herz des Tombstonebearer.
IDS_PROPITEM_TXT_005290	Bone Bowl
IDS_PROPITEM_TXT_005291	(Questitem) Eine Schale, die aus dem Schädel eines Babies gemacht wurde.
IDS_PROPITEM_TXT_005292	Life Tea
IDS_PROPITEM_TXT_005293	(Questitem) Ein geheimnisvoller Tee, der das Gift der Erde neutralisiert.
IDS_PROPITEM_TXT_005294	Monster Book 1
IDS_PROPITEM_TXT_005295	(Questitem) Das Übersetzungsbuch über die Geburt des überdimensionalen Monsters.
IDS_PROPITEM_TXT_005296	Monster Book 2
IDS_PROPITEM_TXT_005297	(Questitem) Das Übersetzungsbuch über die Tat des überdimensionalen Monsters.
IDS_PROPITEM_TXT_005298	Monster Book 3
IDS_PROPITEM_TXT_005299	(Questitem) Das Übersetzungsbuch über den Aufbau und die Fortbewegung des überdimensionalen Monsters.
IDS_PROPITEM_TXT_005300	Warmoniden
IDS_PROPITEM_TXT_005301	(Questitem) Ein Pass für den Zutritt zum Nest des überdimensionalen Monsters.
IDS_PROPITEM_TXT_005302	Leygall
IDS_PROPITEM_TXT_005303	(Questitem) Die Galle von Leyena wird für die Herstellung des besten Alkohols benötigt.
IDS_PROPITEM_TXT_005304	Radoram
IDS_PROPITEM_TXT_005305	(Questitem) Eine besondere Essensbox, die Bolpor gemacht hat.
IDS_PROPITEM_TXT_005306	Lemeat
IDS_PROPITEM_TXT_005307	(Questitem) Das Fleisch von Captain Leyena.
IDS_PROPITEM_TXT_005308	Steam Woodlock
IDS_PROPITEM_TXT_005309	(Questitem) Ein Stück Haut vom Small Steamwalker.
IDS_PROPITEM_TXT_005310	Steam Tears
IDS_PROPITEM_TXT_005311	(Questitem) Eine Trophäe vom Steamwalker.
IDS_PROPITEM_TXT_005312	Knight Mineral
IDS_PROPITEM_TXT_005313	(Questitem) Ein Stück der Rüstung, die der Small SteelKnight trägt.
IDS_PROPITEM_TXT_005314	Nyangnyang Meat
IDS_PROPITEM_TXT_005315	(Questitem) Futter, das Giant Nyangnyang mag und es ist überall zu finden, wo Giant Nyangnyang lebt.
IDS_PROPITEM_TXT_005316	Unknown Letter
IDS_PROPITEM_TXT_005317	(Questitem) Ein mysteriöser und unfreundlicher Brief.
IDS_PROPITEM_TXT_005318	Unknown ID
IDS_PROPITEM_TXT_005319	(Questitem) Ein mysteriöses und unfreundliches Zertifikat.
IDS_PROPITEM_TXT_005320	Office Document
IDS_PROPITEM_TXT_005321	(Questitem) Ein Dokument der Menschen in Flaris, das die Mias gestohlen haben.
IDS_PROPITEM_TXT_005322	White Tarin Root
IDS_PROPITEM_TXT_005323	(Questitem) Eine Wurzel, die Valin benötigt, um im Gegenzug die Daten des Observatorium zu erhalten.
IDS_PROPITEM_TXT_005324	Astro Paper
IDS_PROPITEM_TXT_005325	(Questitem) Ein Dokument, das gestohlen wurde und Valin fand es heraus.
IDS_PROPITEM_TXT_005326	Paper of Sun
IDS_PROPITEM_TXT_005327	(Questitem) Eine Aufzeichnung im Zeitalter der drei Staaten belegt, dass es eine Beobachtung der Sonnenfinsternis gab.
IDS_PROPITEM_TXT_005328	Shining Star Stone
IDS_PROPITEM_TXT_005329	(Questitem) Ein seltener sternförmiger Stein, mit einem Edelstein in der Mitte.
IDS_PROPITEM_TXT_005330	Tooth of Dungeon Rat
IDS_PROPITEM_TXT_005331	(Questitem) Ein Zahn der Dungeon Rat, die schmutzig ist und übel riecht.
IDS_PROPITEM_TXT_005332	Head-bone of Big Snake
IDS_PROPITEM_TXT_005333	(Questitem) Der Schädel von Big Snake, der beweist, dass Mas Dungeon von Big Snake erschaffen wurde.
IDS_PROPITEM_TXT_005334	Spring Shattered Piece
IDS_PROPITEM_TXT_005335	(Questitem) Kaputte Sprungfeder eines Uhrwerks.
IDS_PROPITEM_TXT_005336	Testimony
IDS_PROPITEM_TXT_005337	(Questitem) Ein Dokument, welches belegt, dass die Sprungfeder der Uhr nicht natürlich sondern künstlich hergestellt wurde.
IDS_PROPITEM_TXT_005338	Big Blue Honey
IDS_PROPITEM_TXT_005339	(Questitem) Großer blauer Honigtopf
IDS_PROPITEM_TXT_005340	Envelope of Dunkan
IDS_PROPITEM_TXT_005341	(Questitem) Ein Dokument von Dunkan, das er nach der Invasion von Nerbal verfasst hat.
IDS_PROPITEM_TXT_005342	Sword of Nerbal
IDS_PROPITEM_TXT_005343	(Questitem) Ein Schwert, das die Invasion von Nerbal belegt.
IDS_PROPITEM_TXT_005344	Medal
IDS_PROPITEM_TXT_005345	(Questitem) Eine Medallie, die von Prince Pharte überreicht wurde und später für ein Quest verwendet wurde.
IDS_PROPITEM_TXT_005346	Pendant of Faith
IDS_PROPITEM_TXT_005347	(Questitem) Ein Anhänger, der an die Minister überreicht wird, mit dem Vertrauen der Religion von Flaris Rhisis.
IDS_PROPITEM_TXT_005348	Paper of Pardon
IDS_PROPITEM_TXT_005349	(Questitem) Entschuldigungsbrief
IDS_PROPITEM_TXT_005350	Ring of Promise
IDS_PROPITEM_TXT_005351	(Questitem) Ein Ring des Versprechens
IDS_PROPITEM_TXT_005352	Silver Candle Stick
IDS_PROPITEM_TXT_005353	(Questitem) Silberner Kerzenständer
IDS_PROPITEM_TXT_005354	Holy Branch
IDS_PROPITEM_TXT_005355	(Questitem) Ein heiliger Ast
IDS_PROPITEM_TXT_005356	Fire Feather
IDS_PROPITEM_TXT_005357	(Questitem) Eine Phoenixfeder
IDS_PROPITEM_TXT_005358	Crest of Maal
IDS_PROPITEM_TXT_005359	(Questitem) Das Siegel von Maal
IDS_PROPITEM_TXT_005360	Troupe Badge
IDS_PROPITEM_TXT_005361	(Questitem) Eine Partymedaille
IDS_PROPITEM_TXT_005362	Reco Paper
IDS_PROPITEM_TXT_005363	(Questitem) Reco Papier
IDS_PROPITEM_TXT_005364	Bone of Heaven
IDS_PROPITEM_TXT_005365	(Questitem) Ein Knochen des Himmels
IDS_PROPITEM_TXT_005366	Confidential Map
IDS_PROPITEM_TXT_005367	(Questitem) Geheime Karte
IDS_PROPITEM_TXT_005368	Corrupted Claw of Flybat
IDS_PROPITEM_TXT_005369	(Questitem) Eine Klaue der Flybat, die wegen einer unbekannten Krankheit korrosiert ist und deswegen von Billposter oder Ringmaster gesucht wird.
IDS_PROPITEM_TXT_005370	Sweared Doll of Mia
IDS_PROPITEM_TXT_005371	(Questitem) Eine Puppe die von der Seele der Mia verflucht ist.
IDS_PROPITEM_TXT_005372	Flaris Pumpkin Head
IDS_PROPITEM_TXT_005373	(Questitem) Kopf des Pumpkin in Flaris
IDS_PROPITEM_TXT_005374	Flaris Citizen Recommendation
IDS_PROPITEM_TXT_005375	(Questitem) Empfehlungsschreiben der Bürger von Flaris.
IDS_PROPITEM_TXT_005376	Super Furious Match
IDS_PROPITEM_TXT_005377	(Questitem) Ein sehr kleines Streichholz mit einer hohen Wärmeenergie.
IDS_PROPITEM_TXT_005378	Red Cardrin
IDS_PROPITEM_TXT_005379	(Questitem) Das reinste Cardrin, das ein Teil des Redmantis ist um seine Scheren zu schärfen.
IDS_PROPITEM_TXT_005380	Combat Ranglass
IDS_PROPITEM_TXT_005381	(Questitem) Schutzbrille von Trangfoma, die es ermöglicht durch den Nebel von Darkon zu sehen.
IDS_PROPITEM_TXT_005382	Good Knightler
IDS_PROPITEM_TXT_005383	(Questitem) Ein Halstuch, das Captain Steelknightler hat.
IDS_PROPITEM_TXT_005384	Clean Droil
IDS_PROPITEM_TXT_005385	(Questitem) Das seltenste und reinste Bohröl des Driller, nimmt auf dem Boden die gleiche Form an wie Quecksilber.
IDS_PROPITEM_TXT_005386	Core Guardieye
IDS_PROPITEM_TXT_005387	(Questitem) Der Geist des Captain Elderguard lebt darin.
IDS_PROPITEM_TXT_005388	Giga Ampere
IDS_PROPITEM_TXT_005389	(Questitem) Elekrische Spannung, die man von Volt erhält.
IDS_PROPITEM_TXT_005390	Hell Sycle
IDS_PROPITEM_TXT_005391	(Questitem) Ein Blatt mit der Kraft des Todes.
IDS_PROPITEM_TXT_005392	Clean Mong Tear
IDS_PROPITEM_TXT_005393	(Questitem) Die reinste und beste Mong Tear.
IDS_PROPITEM_TXT_005394	Tough Bomb Timer
IDS_PROPITEM_TXT_005395	(Questitem) Der stärkste und härteste Bombenzeitzünder.
IDS_PROPITEM_TXT_005396	Research Cost Request Form
IDS_PROPITEM_TXT_005397	(Questitem) Anerkennungsschreiben der Historikerin Martinyc für das Studieren der Geschichte.
IDS_PROPITEM_TXT_005398	Stone Piece of Flaris
IDS_PROPITEM_TXT_005399	(Questitem) Ein Stück eines seltenen Steins, den man nur in wenigen Ecken von Flaris findet.
IDS_PROPITEM_TXT_005400	Stone Piece of Saint Morning
IDS_PROPITEM_TXT_005401	(Questitem) Ein Stück eines seltenen Steins, den man nur in wenigen Ecken von Saint Morning findet.
IDS_PROPITEM_TXT_005402	Stone Piece of Darkon
IDS_PROPITEM_TXT_005403	(Questitem) Ein Stück eines seltenen Steins, den man nur in wenigen Ecken von Darkon findet.
IDS_PROPITEM_TXT_005404	Proof of Continent Division
IDS_PROPITEM_TXT_005405	(Questitem) Eine Aufzeichnung, welche die Hypothese von Martinyc für den Grund des zerbrochenen Kontinents belegt.
IDS_PROPITEM_TXT_005406	Recommendation of Gothante
IDS_PROPITEM_TXT_005407	(Questitem) Ein Schreiben, in dem geschrieben steht, wem Gothante glaubt. Dieses Dokument soll zu Hachal in Darkon1 gebracht werden.
IDS_PROPITEM_TXT_005408	A Piece of Strange Cloth
IDS_PROPITEM_TXT_005409	(Questitem) Ein Kleidungsstück, welches das gleiche Symbol hat, wie das auf der Ebene von Bubble.
IDS_PROPITEM_TXT_005410	Unknown Mark
IDS_PROPITEM_TXT_005411	(Questitem) Ein ganzes Symbol auf einem Kleidungsstück, das auf der Ebene von Bubble gefunden wurde.
IDS_PROPITEM_TXT_005412	Piece of Unknown Cloth
IDS_PROPITEM_TXT_005413	(Questitem) Ein Kleidungsstück, welches das gleiche Symbol hat, wie das auf dem Gebirge von Shade.
IDS_PROPITEM_TXT_005414	Book on Trouble History
IDS_PROPITEM_TXT_005415	(Questitem) Ein altes Dokument, in dem es um die Geschichte geht.
IDS_PROPITEM_TXT_005416	Examination Data by Hachal
IDS_PROPITEM_TXT_005417	(Questitem) Daten der Geschichte, die Hachal studierte.
IDS_PROPITEM_TXT_005418	Ancient Book
IDS_PROPITEM_TXT_005419	(Questitem) Ein sehr altes Buch, das in einer alten Sprache verfasst ist und wohl der Schlüssel zum Geheimnis des Altars ist.
IDS_PROPITEM_TXT_005420	Mysterious Gem(Black)
IDS_PROPITEM_TXT_005421	(Questitem) Eine schwarze Perle, die in der Mitte des Symbols gefunden wurde, das auf dem Gebirge von Shade liegt.
IDS_PROPITEM_TXT_005422	Mysterious Gem(Red)
IDS_PROPITEM_TXT_005423	(Questitem) Eine rote Perle, die in der Mitte des Symbols gefunden wurde, das auf der Ebene von Bubble liegt.
IDS_PROPITEM_TXT_005424	Book of Laola
IDS_PROPITEM_TXT_005425	(Questitem) Ein Buch, das Laola geschrieben hat und sehr nützlich sein sollte für Gothante.
IDS_PROPITEM_TXT_005426	Scroll of Gothante
IDS_PROPITEM_TXT_005427	(Questitem) Eine Schriftrolle, die etwas mit Martinyc zu tun hat.
IDS_PROPITEM_TXT_005428	Book of Hero Combat1 (Knight)
IDS_PROPITEM_TXT_005429	(Questitem) Das Buch der Heldenkriege - Knight
IDS_PROPITEM_TXT_005430	Book of Hero Combat2 (Blade)
IDS_PROPITEM_TXT_005431	(Questitem) Das Buch der Heldenkriege - Blade
IDS_PROPITEM_TXT_005432	Book of Hero Combat3 (Billposter)
IDS_PROPITEM_TXT_005433	(Questitem) Das Buch der Heldenkriege - Billposter
IDS_PROPITEM_TXT_005434	Book of Hero Combat4 (Ringmaster)
IDS_PROPITEM_TXT_005435	(Questitem) Das Buch der Heldenkriege - Ringmaster
IDS_PROPITEM_TXT_005436	Book of Hero Combat5 (Psykeeper)
IDS_PROPITEM_TXT_005437	(Questitem) Das Buch der Heldenkriege - Psykeeper
IDS_PROPITEM_TXT_005438	Book of Hero Combat6 (Elementor)
IDS_PROPITEM_TXT_005439	(Questitem) Das Buch der Heldenkriege - Elementor
IDS_PROPITEM_TXT_005440	Trace of Hero1 (Knight)
IDS_PROPITEM_TXT_005441	(Questitem) Die Spur des Helden - Knight
IDS_PROPITEM_TXT_005442	Trace of Hero2 (Blade)
IDS_PROPITEM_TXT_005443	(Questitem) Die Spur des Helden - Blade
IDS_PROPITEM_TXT_005444	Trace of Hero3 (Billposter)
IDS_PROPITEM_TXT_005445	(Questitem) Die Spur des Helden - Billposter
IDS_PROPITEM_TXT_005446	Trace of Hero4 (Ringmaster)
IDS_PROPITEM_TXT_005447	(Questitem) Die Spur des Helden - Ringmaster
IDS_PROPITEM_TXT_005448	Trace of Hero5 (Psykeeper)
IDS_PROPITEM_TXT_005449	(Questitem) Die Spur des Helden - Psykeeper
IDS_PROPITEM_TXT_005450	Trace of Hero6 (Elementor)
IDS_PROPITEM_TXT_005451	(Questitem) Die Spur des Helden - Elementor
IDS_PROPITEM_TXT_005452	History of Hero Life1 (Knight Billeien)
IDS_PROPITEM_TXT_005453	(Questitem) Die Geschichte über das Leben des Helden - Knight Billeien
IDS_PROPITEM_TXT_005454	History of Hero Life2 (Blade Heren)
IDS_PROPITEM_TXT_005455	(Questitem) Die Geschichte über das Leben des Helden - Blade Heren
IDS_PROPITEM_TXT_005456	History of Hero Life3 (Billposter Roentel)
IDS_PROPITEM_TXT_005457	(Questitem) Die Geschichte über das Leben des Helden - Billposter Roentel
IDS_PROPITEM_TXT_005458	History of Hero Life4 (Ringmaster Eiene)
IDS_PROPITEM_TXT_005459	(Questitem) Die Geschichte über das Leben des Helden - Ringmaster Eiene
IDS_PROPITEM_TXT_005460	History of Hero Life5 (Psykeeper Eiene)
IDS_PROPITEM_TXT_005461	(Questitem) Die Geschichte über das Leben des Helden - Psykeeper Eiene
IDS_PROPITEM_TXT_005462	History of Hero Life6 (Elementor Lylip)
IDS_PROPITEM_TXT_005463	(Questitem) Die Geschichte über das Leben des Helden - Elementor Lylip
IDS_PROPITEM_TXT_005464	Soulstone of Hero
IDS_PROPITEM_TXT_005465	(Questitem) Ein Edelstein, der ein Stück der Seele des Helden beinhaltet.
IDS_PROPITEM_TXT_005466	Staff of Venken
IDS_PROPITEM_TXT_005467	(Questitem) Ein Stock von Venken aus dem Jujube Baum, der von einem Blitz erschlagen wurde und somit die beste Haltbarkeit hat.
IDS_PROPITEM_TXT_005468	Ribbon of Luellui
IDS_PROPITEM_TXT_005469	(Questitem) Eine Haarschleife, die von Luellui hergestellt wurde. Ihr Hobby ist es, Haarschleifen zu sammeln.
IDS_PROPITEM_TXT_005470	Charm of Magic
IDS_PROPITEM_TXT_005471	(Questitem) Ein magischer Glücksbringer, der das Ziel anlockt und schwächt.
IDS_PROPITEM_TXT_005472	Mark of Hero
IDS_PROPITEM_TXT_005473	(Questitem) Das Zeichen des Helden, das beweist, dass du den Helden suchen darfst.
IDS_PROPITEM_TXT_005474	Sign of Ollien
IDS_PROPITEM_TXT_005475	(Questitem) Das Zeichen von Ollien, was belegt, dass du ihn getroffen hast.
IDS_PROPITEM_TXT_005476	Sign of Burlox
IDS_PROPITEM_TXT_005477	(Questitem) Das Zeichen von Bulrox, was belegt, dass du ihn getroffen hast.
IDS_PROPITEM_TXT_005478	Sign of Losha
IDS_PROPITEM_TXT_005479	(Questitem) Das Zeichen von Losha, was belegt, dass du sie getroffen hast.
IDS_PROPITEM_TXT_005480	Authentication of Hero
